"fuente","team_name","pitcher","player_id","ip","gs","gp","w","l","era","whip","fip","siera","k9","bb9","hr9","sow","k_pct","bb_pct","k_bb_diff","gb_pct","fb_pct","hr_fb_pct","pitches_per_ip","strike_pct","lob_pct","era_fip_diff","era_fip_label","reg_risk_score","reg_risk_label","stress_index","stress_label"
"2026","Bravos de Leon","Phillips Valdez",570488,40.2,3,21,1,2,6.86,1.57,4.14502487562189,4.37,6.64,3.54,0.89,1.88,16.1,8.6,7.5,56.6,43.4,11.1,17.8,0.62,54.5,2.71,"📈 Unlucky — va a mejorar",71.5,"↗ Ligeramente sobre promedio",34.6,"🟢 Bajo"
"2026","Bravos de Leon","Nathanael Heredia",678975,18,1,18,1,1,13,2.5,5.31666666666667,4.44,9,6,1.5,1.5,17.8,11.9,5.9,67.6,32.4,27.3,22.5,0.63,33.3,7.68,"📈 Unlucky — va a mejorar",100,"⚠️ ERA alto — candidato a mejorar",58.5,"🟡 Moderado"
"2026","Bravos de Leon","Angel Lopez",810862,14.2,1,17,0,0,12.89,2.52,6.24859154929577,5.14,6.75,5.52,1.84,1.22,12.9,10.6,2.3,55.9,44.1,20,22.3,0.56,66.7,6.64,"📈 Unlucky — va a mejorar",100,"⚠️ ERA alto — candidato a mejorar",60.7,"🟡 Moderado"
"2025 (sin datos 2026)","Bravos de Leon","Lisalverto Bonilla",570810,9,1,4,0,0,11,2.33,8.59444444444444,6.14,4,6,3,0.67,8.5,12.8,-4.3,47.6,52.4,27.3,22.11,0.58,20,2.41,"📈 Unlucky — va a mejorar",100,"⚠️ ERA alto — candidato a mejorar",81,"🔴 Alto — bullpen expuesto"
"2025 (sin datos 2026)","Bravos de Leon","Josh Smith",663642,37.2,0,43,2,5,4.54,1.62,3.33817204301075,4.47,6.45,3.82,0.24,1.69,16.1,9.5,6.6,64.1,35.9,3.6,16.91,0.64,85.7,1.2,"📈 Unlucky — va a mejorar",47.3,"✓ Estable",26.5,"🟢 Bajo"
"2025 (sin datos 2026)","Bravos de Leon","Osiel Rodriguez",682640,33.2,0,31,2,0,7.22,1.96,5.28855421686747,5.9,4.54,5.88,0.8,0.77,10.2,13.2,-3,50.6,49.4,7.5,18.09,0.59,54.2,1.93,"📈 Unlucky — va a mejorar",75.2,"⚠️ ERA alto — candidato a mejorar",47.3,"🟢 Bajo"
"2026","Bravos de Leon","Deury Carrasco",672767,27.2,0,29,2,0,2.28,1.3,3.03970588235294,2.48,11.06,4.23,0.65,2.62,28.6,10.9,17.7,55.3,44.7,9.5,15.87,0.62,0,-0.76,"📉 Lucky — riesgo regresión",23.8,"⚠️ ERA bajo — riesgo regresión",35.1,"🟢 Bajo"
"2026","Bravos de Leon","Robert Gsellman",607229,26,0,26,2,3,4.15,1.27,3.45769230769231,2.45,8.65,0.69,1.38,12.5,22.9,1.8,21.1,52.9,47.1,16.7,15.31,0.7,100,0.69,"↗ Ligeramente unlucky",43.2,"✓ Estable",24.8,"🟢 Bajo"
"2026","Bravos de Leon","Carlos Morales",676190,24.2,0,27,0,0,3.28,1.09,3.7698347107438,3.05,8.76,2.92,1.09,3,23.3,7.8,15.5,44.9,55.1,11.1,16.78,0.63,71.4,-0.49,"↘ Ligeramente lucky",34.2,"↘ Ligeramente bajo promedio",33.9,"🟢 Bajo"
"2025 (sin datos 2026)","Bravos de Leon","Rodrigo Benoit",646081,24.2,0,30,0,3,5.84,2.03,5.42272727272727,5.94,5.11,6.93,0.73,0.74,11.4,15.4,-4,54.5,45.5,8,19.01,0.57,63.6,0.42,"↗ Ligeramente unlucky",60.8,"↗ Ligeramente sobre promedio",52.5,"🟡 Moderado"
